Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
01451;VIRIAT;01440;;VIRIAT;46.2508985632,5.22302249216
01453;ARVIERE EN VALROMEY;01260;BRENAZ;ARVIERE EN VALROMEY;45.9063608209,5.73707051523
01453;ARVIERE EN VALROMEY;01510;CHAVORNAY;ARVIERE EN VALROMEY;45.9063608209,5.73707051523
02001;ABBECOURT;02300;;ABBECOURT;49.5991518653,3.17708232927
02008;AIZY JOUY;02370;JOUY;AIZY JOUY;49.4384256824,3.51149185429
02009;ALAINCOURT;02240;;ALAINCOURT;49.7667120841,3.36639043616
02018;ANIZY LE GRAND;02320;ANIZY LE CHATEAU;ANIZY LE GRAND;49.5045058305,3.43129584952
02033;AUBIGNY EN LAONNOIS;02820;;AUBIGNY EN LAONNOIS;49.4968821185,3.79282850765
02034;AUDIGNICOURT;02300;;AUDIGNICOURT;49.4777157214,3.12718502825
02038;LES AUTELS;02360;;LES AUTELS;49.7608855336,4.22422505762
02043;BAGNEUX;02290;;BAGNEUX;49.4601139731,3.27945330014
02049;BARISIS AUX BOIS;02700;;BARISIS AUX BOIS;49.577979369,3.32804487461
02053;VALLEES EN CHAMPAGNE;02330;LA CHAPELLE MONTHODON;VALLEES EN CHAMPAGNE;48.9896915811,3.60486686026
02057;BEAUREVOIR;02110;;BEAUREVOIR;49.9965608612,3.32970842537
02062;BELLEAU;02400;;BELLEAU;49.0829128265,3.30049173293
02063;BELLENGLISE;02420;;BELLENGLISE;49.9261057081,3.2441994692
02070;BERNOT;02120;;BERNOT;49.8793651304,3.48665456392
02073;BERRY AU BAC;02190;;BERRY AU BAC;49.4084985083,3.8985497785
02078;BESME;02300;;BESME;49.5341682819,3.16474171361
02080;BESNY ET LOIZY;02870;;BESNY ET LOIZY;49.5928792816,3.57657238799
02081;BETHANCOURT EN VAUX;02300;;BETHANCOURT EN VAUX;49.6290547772,3.14064657935
02088;BIEVRES;02860;;BIEVRES;49.4921822965,3.7137356904
02093;BLERANCOURT;02300;;BLERANCOURT;49.5076223945,3.15179502187
02103;BOUE;02450;;BOUE;50.0114554001,3.71432024852
02105;BOURESCHES;02400;;BOURESCHES;49.0671787396,3.31728226934
02116;BRAYE EN THIERACHE;02140;;BRAYE EN THIERACHE;49.7675470994,3.96265841899
02118;BRAYE;02880;;BRAYE;49.4221361409,3.37829006511
02142;CASTRES;02680;;CASTRES;49.8013894137,3.25325245088
02149;CERIZY;02240;;CERIZY;49.7670333979,3.33255021354
02152;CERSEUIL;02220;;CERSEUIL;49.324784775,3.51746919082
02154;CHACRISE;02200;;CHACRISE;49.3002009035,3.39759102537
02157;CHAMBRY;02000;;CHAMBRY;49.5986366056,3.67200832611
02158;CHAMOUILLE;02860;;CHAMOUILLE;49.4720646954,3.67062673062
02162;LA CHAPELLE SUR CHEZY;02570;;LA CHAPELLE SUR CHEZY;48.9492049177,3.37662807022
02168;CHATEAU THIERRY;02400;;CHATEAU THIERRY;49.0564070801,3.38160004843
02175;CHAVIGNY;02880;;CHAVIGNY;49.4232730431,3.30567490669
02181;CHERY LES ROZOY;02360;;CHERY LES ROZOY;49.7222192886,4.1011989282
02184;CHEVRESIS MONCEAU;02270;;CHEVRESIS MONCEAU;49.7616780422,3.5837583969
02185;CHEZY EN ORXOIS;02810;;CHEZY EN ORXOIS;49.1268031885,3.16759094422
